Avg Runtime,Input Size
3.032684326171875e-06,4
6.406307220458985e-06,8
1.0359287261962891e-05,12
1.4026165008544921e-05,16
1.873016357421875e-05,20
2.422332763671875e-05,24
2.7797222137451173e-05,28
3.302574157714844e-05,32
3.7984848022460936e-05,36
4.276275634765625e-05,40
4.750967025756836e-05,44
5.332708358764648e-05,48
5.838871002197266e-05,52
6.44397735595703e-05,56
6.890296936035156e-05,60
7.513046264648438e-05,64
8.032560348510743e-05,68
8.683919906616211e-05,72
9.216070175170899e-05,76
9.674072265625e-05,80
0.00010288238525390625,84
0.0001141810417175293,88
0.0001162409782409668,92
0.00012402057647705077,96
0.00012792110443115234,100
0.00013466358184814454,104
0.00013867855072021484,108
0.000144500732421875,112
0.00015055179595947266,116
0.00015811681747436525,120
0.00016225337982177734,124
0.00016922950744628905,128
0.00017336606979370117,132
0.00018014669418334962,136
0.0001867222785949707,140
0.00019291400909423828,144
0.00019903659820556642,148
0.00020493030548095702,152
0.00021070480346679687,156
0.0002199554443359375,160
0.00022499561309814454,164
0.00022951841354370116,168
0.00023467779159545897,172
0.00024103403091430665,176
0.00024669170379638673,180
0.00025313138961791993,184
0.00025893926620483397,188
0.0002660512924194336,192
0.0002716064453125,196
0.00027883291244506836,200
0.0002840113639831543,204
0.00029236555099487304,208
0.00029717206954956056,212
0.0003059816360473633,216
0.0003108549118041992,220
0.0003189420700073242,224
0.0003245997428894043,228
0.00033190965652465823,232
0.00034493207931518555,236
0.0003516912460327148,240
0.0003545641899108887,244
0.00036113500595092774,248
0.00036803245544433596,252
0.00037204265594482423,256
0.00038141965866088866,260
0.0003839325904846191,264
0.0003937721252441406,268
0.00039920568466186526,272
0.00041049957275390625,276
0.0004194140434265137,280
0.0004237532615661621,284
0.00042865753173828127,288
0.00043174028396606443,292
0.0004363846778869629,296
0.0004457998275756836,300
0.00045006752014160157,304
0.0004570317268371582,308
0.0004626655578613281,312
0.000468904972076416,316
0.0004772520065307617,320
0.0004830145835876465,324
0.0004900503158569336,328
0.000496068000793457,332
0.0005021309852600098,336
0.0005121994018554688,340
0.0005178236961364746,344
0.000522315502166748,348
0.0005484557151794433,352
0.0005615139007568359,356
0.000559995174407959,360
